,gpu usage(%),mem usage(%),mem usage(MB)
284,0 %, 0 %, 10 MiB
285,0 %, 0 %, 10 MiB
286,0 %, 0 %, 10 MiB
287,0 %, 0 %, 10 MiB
288,0 %, 0 %, 10 MiB
289,0 %, 0 %, 10 MiB
290,0 %, 0 %, 10 MiB
291,0 %, 0 %, 10 MiB
292,0 %, 0 %, 10 MiB
293,0 %, 0 %, 10 MiB
294,0 %, 0 %, 10 MiB
295,0 %, 0 %, 10 MiB
296,0 %, 0 %, 10 MiB
297,0 %, 0 %, 10 MiB
298,0 %, 0 %, 10 MiB
299,0 %, 0 %, 10 MiB
300,0 %, 0 %, 10 MiB
301,0 %, 0 %, 10 MiB
302,0 %, 0 %, 10 MiB
303,0 %, 0 %, 10 MiB
304,0 %, 0 %, 10 MiB
305,0 %, 0 %, 10 MiB
306,0 %, 0 %, 10 MiB
307,0 %, 0 %, 10 MiB
308,0 %, 0 %, 10 MiB
309,0 %, 0 %, 10 MiB
310,0 %, 0 %, 10 MiB
311,0 %, 0 %, 10 MiB
312,0 %, 0 %, 10 MiB
313,0 %, 0 %, 10 MiB
314,0 %, 0 %, 10 MiB
315,0 %, 0 %, 10 MiB
316,0 %, 0 %, 10 MiB
317,0 %, 0 %, 10 MiB
318,0 %, 0 %, 10 MiB
319,0 %, 0 %, 10 MiB
320,0 %, 0 %, 10 MiB
321,0 %, 0 %, 10 MiB
322,0 %, 0 %, 10 MiB
323,0 %, 0 %, 10 MiB
324,0 %, 0 %, 10 MiB
325,0 %, 0 %, 10 MiB
326,0 %, 0 %, 10 MiB
327,0 %, 0 %, 10 MiB
328,0 %, 0 %, 10 MiB
329,0 %, 0 %, 10 MiB
330,0 %, 0 %, 10 MiB
331,0 %, 0 %, 10 MiB
332,0 %, 0 %, 10 MiB
333,0 %, 0 %, 10 MiB
334,0 %, 0 %, 10 MiB
335,0 %, 0 %, 10 MiB
336,0 %, 0 %, 10 MiB
337,0 %, 0 %, 10 MiB
338,0 %, 0 %, 10 MiB
339,0 %, 0 %, 10 MiB
340,0 %, 0 %, 10 MiB
341,0 %, 0 %, 10 MiB
342,0 %, 0 %, 10 MiB
343,0 %, 0 %, 10 MiB
344,0 %, 0 %, 10 MiB
345,0 %, 0 %, 10 MiB
346,0 %, 0 %, 10 MiB
347,0 %, 0 %, 10 MiB
348,0 %, 0 %, 10 MiB
349,0 %, 0 %, 10 MiB
350,0 %, 0 %, 10 MiB
351,0 %, 0 %, 10 MiB
352,0 %, 0 %, 10 MiB
353,0 %, 0 %, 10 MiB
354,0 %, 0 %, 10 MiB
355,0 %, 0 %, 10 MiB
356,0 %, 0 %, 10 MiB
357,0 %, 0 %, 10 MiB
358,0 %, 0 %, 10 MiB
359,0 %, 0 %, 10 MiB
360,0 %, 0 %, 10 MiB
361,0 %, 0 %, 10 MiB
362,0 %, 0 %, 10 MiB
363,0 %, 0 %, 10 MiB
364,0 %, 0 %, 10 MiB
365,0 %, 0 %, 10 MiB
366,0 %, 0 %, 10 MiB
367,0 %, 0 %, 10 MiB
368,0 %, 0 %, 10 MiB
369,0 %, 0 %, 10 MiB
370,0 %, 0 %, 10 MiB
371,0 %, 0 %, 10 MiB
372,0 %, 0 %, 10 MiB
373,0 %, 0 %, 10 MiB
374,0 %, 0 %, 10 MiB
375,0 %, 0 %, 10 MiB
376,0 %, 0 %, 10 MiB
377,0 %, 0 %, 10 MiB
378,0 %, 0 %, 10 MiB
379,0 %, 0 %, 10 MiB
380,0 %, 0 %, 10 MiB
381,0 %, 0 %, 10 MiB
382,0 %, 0 %, 10 MiB
383,0 %, 0 %, 10 MiB
384,0 %, 0 %, 10 MiB
385,0 %, 0 %, 10 MiB
386,0 %, 0 %, 10 MiB
387,0 %, 0 %, 10 MiB
388,0 %, 0 %, 10 MiB
389,0 %, 0 %, 10 MiB
390,0 %, 0 %, 10 MiB
391,0 %, 0 %, 10 MiB
392,0 %, 0 %, 10 MiB
393,0 %, 0 %, 10 MiB
394,0 %, 0 %, 10 MiB
395,0 %, 0 %, 10 MiB
396,0 %, 0 %, 10 MiB
397,0 %, 0 %, 10 MiB
398,0 %, 0 %, 10 MiB
399,0 %, 0 %, 10 MiB
400,0 %, 0 %, 10 MiB
401,0 %, 0 %, 10 MiB
402,0 %, 0 %, 10 MiB
403,0 %, 0 %, 10 MiB
404,0 %, 0 %, 10 MiB
405,0 %, 0 %, 10 MiB
